2022/09/13 09:52:09 [emerg] 16120#18744: CreateFile() "E:\2022新版课程\苍穹外卖项目\授课资料\day01\资料\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2025/10/18 21:03:35 [error] 40720#12136: *173 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://[::1]:8080/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *173 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://localhost/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:37 [error] 40720#12136: *170 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2025/10/19 15:43:55 [error] 40720#12136: *185 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/23 21:32:32 [error] 40720#12136: *321 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/details/12 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/details/12", host: "localhost", referrer: "http://localhost/"
2025/10/23 21:32:34 [error] 40720#12136: *321 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/details/12 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/order/details/12", host: "localhost", referrer: "http://localhost/"
2025/10/23 21:56:21 [error] 40720#12136: *339 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/details/14 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/details/14", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *385 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/conditionSearch?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *386 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *386 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *407 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/stuzxbz1az HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/stuzxbz1az", host: "localhost"
2025/10/23 22:24:11 [error] 40720#12136: *385 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/order/conditionSearch?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:11 [error] 40720#12136: *385 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://localhost/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:18 [error] 40720#12136: *385 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/admin/order/conditionSearch?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:18 [error] 40720#12136: *386 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:21 [error] 40720#12136: *385 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/userStatistics?begin=2025-10-16&end=2025-10-22 HTTP/1.1", upstream: "http://localhost/admin/report/userStatistics?begin=2025-10-16&end=2025-10-22", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:21 [error] 40720#12136: *385 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/ordersStatistics?begin=2025-10-16&end=2025-10-22 HTTP/1.1", upstream: "http://localhost/admin/report/ordersStatistics?begin=2025-10-16&end=2025-10-22", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:21 [error] 40720#12136: *385 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/top10?begin=2025-10-16&end=2025-10-22 HTTP/1.1", upstream: "http://localhost/admin/report/top10?begin=2025-10-16&end=2025-10-22", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1053 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/turnoverStatistics?begin=2025-10-19&end=2025-10-25 HTTP/1.1", upstream: "http://[::1]:8080/admin/report/turnoverStatistics?begin=2025-10-19&end=2025-10-25", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1052 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1052 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1056 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/userStatistics?begin=2025-10-19&end=2025-10-25 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/report/userStatistics?begin=2025-10-19&end=2025-10-25", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1056 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/userStatistics?begin=2025-10-19&end=2025-10-25 HTTP/1.1", upstream: "http://localhost/admin/report/userStatistics?begin=2025-10-19&end=2025-10-25", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1060 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/top10?begin=2025-10-19&end=2025-10-25 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/report/top10?begin=2025-10-19&end=2025-10-25", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1060 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/top10?begin=2025-10-19&end=2025-10-25 HTTP/1.1", upstream: "http://localhost/admin/report/top10?begin=2025-10-19&end=2025-10-25", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1058 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/2xjvrt86h7a HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/2xjvrt86h7a", host: "localhost"
2025/10/26 22:45:41 [error] 40720#12136: *1059 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/ordersStatistics?begin=2025-10-19&end=2025-10-25 HTTP/1.1", upstream: "http://[::1]:8080/admin/report/ordersStatistics?begin=2025-10-19&end=2025-10-25", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:41 [error] 40720#12136: *1059 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/report/ordersStatistics?begin=2025-10-19&end=2025-10-25 HTTP/1.1", upstream: "http://localhost/admin/report/ordersStatistics?begin=2025-10-19&end=2025-10-25", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:47 [error] 40720#12136: *1053 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee/logout HTTP/1.1", upstream: "http://localhost/admin/employee/logout", host: "localhost", referrer: "http://localhost/"
2025/10/26 22:45:49 [error] 40720#12136: *1053 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee/logout HTTP/1.1", upstream: "http://localhost/admin/employee/logout", host: "localhost", referrer: "http://localhost/"
